Location,Nestbox,Species,Year,Wing.Chord,Sex,ID,Mass,SMI,logwing,logmass,Bander,Elevation
SGR,SGR-214,MOCH,2022,65,F,297010678,12,12.31766592,4.17438727,2.48490665,NCA,2505.456
SGR,SGR-210,MOCH,2022,65,F,291054146,10,10.2647216,4.17438727,2.302585093,MEL,2468.88
SGR,SGR-226,MOCH,2022,70,M,POX52022,11,10.78421592,4.248495242,2.397895273,,2510.028
MRS,MRS-080,MOCH,2022,66,F,297010700,11.5,11.69323612,4.189654742,2.442347035,MEL,3057.144
SGR,SGR-240,MOCH,2023,68,M,297010735,13,12.97607186,4.219507705,2.564949357,WCA,2005.584
SGR,SGR-101,MOCH,2023,69,M,297010748,12.5,12.36458733,4.234106505,2.525728644,WCA,2548.128
NED,NED-378,MOCH,2023,69,F,297010827,12,11.87000384,4.234106505,2.48490665,NCA,2548.128
SGR,SGR-137,MOCH,2023,68,F,297010828,12,11.97791249,4.219507705,2.48490665,NCA,2548.128
SGR,SGR-233,MOCH,2023,72,M,297010856,13,12.52434731,4.276666119,2.564949357,NCA,2508.504
MRS,MRS-194,MOCH,2023,71,M,297010866,13.5,13.11930663,4.262679877,2.602689685,NCA,2898.648
MRS,MRS-99,MOCH,2023,65,F,297010919,11,11.29119376,4.17438727,2.397895273,HLK,2849.88
SGR,SGR-175,MOCH,2023,68,M,297010926,11,10.97975311,4.219507705,2.397895273,HLK,2529.84
MRS,MRS-195,MOCH,2023,68,M,297010976,12,11.97791249,4.219507705,2.48490665,HLK,2904.744
MRS,MRS-71,MOCH,2023,68,M,297010995,12,11.97791249,4.219507705,2.48490665,HLK,3166.872
MRS,MRS-401,MOCH,2023,66,M,301041054,10,10.16803141,4.189654742,2.302585093,WCA,2924.556
SGR,SGR-150,MOCH,2023,66,F,POX42023,12,12.20163769,4.189654742,2.48490665,NCA,2529.84
SGR,SGR-226,MOCH,2023,71,M,POX52023,12,11.6616059,4.262679877,2.48490665,WCA,2510.028
SGR,SGR-176,MOCH,2023,70,M,POX62023,12,11.76459919,4.248495242,2.48490665,NCA,2510.028
SGR,SGR-106,MOCH,2023,70,M,POX72023,12,11.76459919,4.248495242,2.48490665,NCA,2510.028
SGR,SGR-148,MOCH,2023,74,M,POX82023,12.5,11.83982912,4.304065093,2.525728644,NCA,2551.176
SGR,SGR-171,MOCH,2023,69,M,POX92023,12.5,12.36458733,4.234106505,2.525728644,NCA,2534.412
MRS,MRS-374,MOCH,2024,72,M,294018398,12,11.56093598,4.276666119,2.48490665,ONT,2874.264
MRS,MRS-374,MOCH,2024,68,F,291054181,11.5,11.4788328,4.219507705,2.442347035,SRP,2874.264
MRS,MRS-16,MOCH,2024,71,M,297010779,12.5,12.14750614,4.262679877,2.525728644,WCA,3343.656
MRS,MRS-16,MOCH,2024,66,F,297010780,12,12.20163769,4.189654742,2.48490665,WCA,3343.656
SGR,SGR-158,MOCH,2024,72,M,297010748,12.5,12.04264164,4.276666119,2.525728644,WCA,2529.84
SGR,SGR-158,MOCH,2024,65,F,291054144,11,11.29119376,4.17438727,2.397895273,WCA,2529.84
MRS,MRS-17,MOCH,2024,68,M,305064333,12,11.97791249,4.219507705,2.48490665,WCA,3337.56
MRS,MRS-17,MOCH,2024,63,F,305064334,12,12.55862822,4.143134726,2.48490665,WCA,3337.56
MRS,MRS-51,MOCH,2024,70,M,255022058,11.5,11.27440756,4.248495242,2.442347035,WCA,3223.26
MRS,MRS-51,MOCH,2024,66,F,255022059,12,12.20163769,4.189654742,2.48490665,WCA,3223.26
MRS,MRS-18 ,MOCH,2024,71,M,255022055,11,10.6898054,4.262679877,2.397895273,WCA,3346.704
MRS,MRS-18 ,MOCH,2024,66,F,255022056,11,11.18483455,4.189654742,2.397895273,WCA,3346.704
MRS,MRS-34,MOCH,2024,73,M,305064325,13,12.41771465,4.290459441,2.564949357,ONT,3352.8
MRS,MRS-92,MOCH,2024,72,M,305017036,12,11.56093598,4.276666119,2.48490665,ONT,2923.032
MRS,MRS-92,MOCH,2024,67,F,305017035,12,12.08842278,4.204692619,2.48490665,ONT,2923.032
MRS,MRS-91,MOCH,2024,65,M,305017033,11,11.29119376,4.17438727,2.397895273,ONT,2959.608
MRS,MRS-91,MOCH,2024,65,F,305017034,11,11.29119376,4.17438727,2.397895273,ONT,2959.608
NED,NED-362,MOCH,2024,70,M,305017037,11.5,11.27440756,4.248495242,2.442347035,SRP,2621.28
NED,NED-362,MOCH,2024,64,F,305017038,10,10.36385191,4.158883083,2.302585093,SRP,2621.28
SGR,SGR-230,MOCH,2024,70,M,305017031,12,11.76459919,4.248495242,2.48490665,ONT,2516.124
SGR,SGR-230,MOCH,2024,64,F,305017032,10.5,10.88204451,4.158883083,2.351375257,ONT,2516.124
